X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,fid,NOMBRE,ESTADO,TRAZA,X,Y,Observacio,Concat,FECHA DE A,Nuevo,icon_url
-58.7699112446595,-27.7030533916761,,,,,,,"-1","0","-1",,,31.000000000000000,EL SOMBRERO,PROYECTADO,PARANA,-58.769911244659497,-27.703053391676100,,"-27.703053391676075,-58.7699112446595",,,./2.png
-58.8095278525926,-27.9538794084985,,,,,,,"-1","0","-1",,,32.000000000000000,EMPEDRADO,PROYECTADO,PARANA,-58.809527852592602,-27.953879408498501,,"-27.953879408498548,-58.8095278525926",,,./2.png
-57.114497,-29.7272700843415,,,,,,,"-1","0","-1",,,34.000000000000000,PASO DE LOS LIBRES SUR,EN FUNCIONAMIENTO,CENTRAL,-57.114497000000000,-29.727270084341502,,"-29.727482544668177,-57.11442541845551",,,./0.png
-59.526448609904,-30.02663369777,,,,,,,"-1","0","-1",,,40.000000000000000,ESQUINA,PROYECTADO,PARANA,-59.526448609904001,-30.026633697769999,,"-30.02663369776999,-59.52644860990398",,,./2.png
-58.787968161816,-30.0853500831371,,,,,,,"-1","0","-1",,,41.000000000000000,SAUCE,PROYECTADO,CIERRE SUR,-58.787968161816003,-30.085350083137101,,"-30.085350083137072,-58.78796816181598",,,./2.png
-58.624611,-28.2544044066281,,,,,,,"-1","0","-1",,,51.000000000000000,SALADAS,EN FUNCIONAMIENTO,HUMEDAL,-58.624611000000002,-28.254404406628101,,"-28.254407253024564,-58.62461750604914",,,./0.png
-58.2998156159444,-29.9822764674034,,,,,,,"-1","0","-1",,,53.000000000000000,CAZADORES CORRENTINOS,PROYECTADO,CIERRE SUR,-58.299815615944397,-29.982276467403398,,"-29.982276467403405,-58.299815615944446",,,./2.png
-56.6578089095071,-29.1585507823388,,,,,,,"-1","0","-1",,,56.000000000000000,LA CRUZ,EN EJECUCION,URUGUAY,-56.657808909507096,-29.158550782338800,,"-29.158550782338803,-56.65780890950706",,,./1.png
-56.8272016060966,-29.3695212541159,,,,,,,"-1","0","-1",,,57.000000000000000,GUAVIRAVI,EN EJECUCION,URUGUAY,-56.827201606096601,-29.369521254115899,,"-29.369521254115877,-56.82720160609662",,,./1.png
-58.2426081632004,-27.2682225677617,,,,,,,"-1","0","-1",,,60.000000000000000,ITATI,EN FUNCIONAMIENTO,CIERRE NORTE,-58.242608163200401,-27.268222567761701,,"-27.268222567761686,-58.24260816320036",2024/02/01,,./0.png
-59.3900956546465,-30.2207107113918,,,,,,,"-1","0","-1",,,73.000000000000000,PUEBLO LIBERTADOR,PROYECTADO,CIERRE SUR,-59.390095654646501,-30.220710711391799,,"-30.2207107113918,-59.39009565464649",,,./2.png
-56.4700992375413,-28.8278762973721,,,,,,,"-1","0","-1",,,74.000000000000000,ESTACION TORRENT,EN EJECUCION,URUGUAY,-56.470099237541298,-28.827876297372100,,"-28.82787629737215,-56.47009923754131",,,./1.png
-57.5738677808406,-29.9054534617251,,,,,,,"-1","0","-1",,,75.000000000000000,PUCHETA,PROYECTADO,BOMPLAND,-57.573867780840601,-29.905453461725099,,"-29.905453461725134,-57.57386778084062",,,./2.png
-57.4275699874085,-29.8170203217899,,,,,,,"-1","0","-1",,,76.000000000000000,BOMPLAND,PROYECTADO,BOMPLAND,-57.427569987408503,-29.817020321789901,,"-29.817020321789883,-57.427569987408475",,,./2.png
-57.5291469086713,-27.5528072101928,,,,,,,"-1","0","-1",,,80.000000000000000,BERON DE ASTRADA,PROYECTADO,HUMEDAL,-57.529146908671301,-27.552807210192800,,"-27.552807210192782,-57.5291469086713",,,./2.png
-57.2751627068033,-27.764280248023,,,,,,,"-1","0","-1",,,85.000000000000000,LORETO,PROYECTADO,HUMEDAL,-57.275162706803307,-27.764280248022999,,"-27.764280248023038,-57.27516270680329",,,./2.png
-57.9673483726214,-30.6183042436446,,,,,,,"-1","0","-1",,,93.000000000000000,MOCORETÁ,PROYECTADO,,-57.967348372621402,-30.618304243644602,no,"-30.618304243644605,-57.967348372621395",,,./2.png
-56.0242343011867,-27.9449066144717,,,,,,,"-1","0","-1",,,94.000000000000000,ACONTIMBER,EN FUNCIONAMIENTO,,-56.024234301186702,-27.944906614471702,,"-27.94490661447172,-56.024234301186716",,,./0.png
-56.38297180723,-27.6157551712726,,,,,,,"-1","0","-1",,,95.000000000000000,SANTA TECLA,EN FUNCIONAMIENTO,,-56.382971807230000,-27.615755171272600,,"-27.615755171272617,-56.382971807229985",,,./0.png
-56.1955371220225,-27.84113,,,,,,,"-1","0","-1",,,96.000000000000000,CAABI POI,EN FUNCIONAMIENTO,,-56.195537122022508,-27.841130000000000,,"-27.84112999999999,-56.195537122022486",,,./0.png
-59.1779339311163,-29.0243979938246,,,,,,,"-1","0","-1",,,98.000000000000000,LAVALLE,PROYECTADO,PARANA,-59.177933931116293,-29.024397993824600,,"-29.024397993824586,-59.17793393111627",,,./2.png
-58.9515584200394,-28.4288134829915,,,,,,,"-1","0","-1",,,99.000000000000000,COLONIA 3 DE ABRIL,PROYECTADO,,-58.951558420039397,-28.428813482991501,,"-28.428813482991547,-58.951558420039355",,,./2.png
-58.5567480508509,-27.5070413564302,,,,,,,"-1","0","-1",,,105.000000000000000,SAN LUIS DEL PALMAR,PROYECTADO,,-58.556748050850899,-27.507041356430200,,"-27.507041356430232,-58.556748050850864",,,./2.png
-57.9196422487163,-27.7374598080121,,,,,,,"-1","0","-1",,,106.000000000000000,LOMAS DE VALLEJOS,PROYECTADO,,-57.919642248716301,-27.737459808012101,,"-27.737459808012083,-57.91964224871631",,,./2.png
-57.6585816674906,-30.2418828383081,,,,,,,"-1","0","-1",,,107.000000000000000,MONTE CASEROS,EN EJECUCION,,-57.658581667490601,-30.241882838308101,,"-30.24188283830808,-57.658581667490644",,,./1.png
-57.6992436626339,-28.4210006747322,,,,,,,"-1","0","-1",,,108.000000000000000,HOTEL EL TRANSITO,EN FUNCIONAMIENTO,,-57.699243662633897,-28.421000674732198,,"-28.421000674732152,-57.69924366263393",,,./0.png
-55.82446389709,-27.9128228189283,,,,,,,"-1","0","-1",,,109.000000000000000,LIEBIG,PROYECTADO,,-55.824463897089998,-27.912822818928301,no,"-27.91282281892832,-55.82446389709",,,./2.png
-59.1784628687717,-29.1321937085519,,,,,,,"-1","0","-1",,,112.000000000000000,CNIA. CAROLINA,PROYECTADO,,-59.178462868771703,-29.132193708551899,no,"-29.132193708551924,-59.17846286877171",,,./2.png
-58.6530475141837,-28.7514190096779,,,,,,,"-1","0","-1",,,113.000000000000000,MANTILLA,PROYECTADO,,-58.653047514183697,-28.751419009677900,no,"-28.75141900967789,-58.653047514183676",,,./2.png
-58.573415085359,-28.9549998107837,,,,,,,"-1","0","-1",,,114.000000000000000,CHAVARRIA,PROYECTADO,,-58.573415085359002,-28.954999810783701,no,"-28.9549998107837,-58.57341508535899",,,./2.png
-58.7108200605859,-28.5745810777174,,,,,,,"-1","0","-1",,,115.000000000000000,SAN ROQUE,PROYECTADO,,-58.710820060585903,-28.574581077717401,no,"-28.574581077717436,-58.71082006058591",,,./2.png
-58.832677020792,-28.841795206802,,,,,,,"-1","0","-1",,,116.000000000000000,9 DE JULIO,PROYECTADO,,-58.832677020791998,-28.841795206802001,no,"-28.841795206801965,-58.832677020792026",,,./2.png
-58.9377135811238,-28.9115469011266,,,,,,,"-1","0","-1",,,117.000000000000000,MARTINEZ,PROYECTADO,,-58.937713581123802,-28.911546901126599,no,"-28.91154690112665,-58.93771358112376",,,./2.png
-59.0039347626051,-28.8367675048828,,,,,,,"-1","0","-1",,,118.000000000000000,CRUZ DE LOS MILAGROS,PROYECTADO,,-59.003934762605098,-28.836767504882800,no,"-28.83676750488277,-59.003934762605134",,,./2.png
-58.9127116889591,-29.028450435196,,,,,,,"-1","0","-1",,,119.000000000000000,YATAYTÍ CALLE,PROYECTADO,,-58.912711688959099,-29.028450435196000,no,"-29.028450435196042,-58.91271168895908",,,./2.png
-58.9118635539105,-29.0284752759715,,,,,,,"-1","0","-1",,,120.000000000000000,YATAYTÍ CALLE,PROYECTADO,,-58.911863553910507,-29.028475275971498,no,"-29.028475275971505,-58.91186355391054",,,./2.png
-58.3406069367013,-29.1074896969293,,,,,,,"-1","0","-1",,,121.000000000000000,FELIPE YOFRE,PROYECTADO,,-58.340606936701299,-29.107489696929299,no,"-29.107489696929292,-58.34060693670128",,,./2.png
-57.1744926194698,-28.534814544856,,,,,,,"-1","0","-1",,,122.000000000000000,PELLEGRINI,PROYECTADO,,-57.174492619469802,-28.534814544856001,,"-28.534814544855987,-57.1744926194698",,,./2.png
-58.2595234977105,-27.5660668853197,,,,,,,"-1","0","-1",,,123.000000000000000,HERLITZKA,PROYECTADO,,-58.259523497710497,-27.566066885319700,no,"-27.56606688531969,-58.25952349771053",,,./2.png
-58.5128852128784,-27.3712584266405,,,,,,,"-1","0","-1",,,124.000000000000000,SAN COSME,PROYECTADO,,-58.512885212878402,-27.371258426640502,no,"-27.37125842664053,-58.512885212878395",,,./2.png
-58.2993113226651,-27.3641042833023,,,,,,,"-1","0","-1",,,125.000000000000000,RAMADA PASO,PROYECTADO,,-58.299311322665098,-27.364104283302300,no,"-27.36410428330227,-58.29931132266512",,,./2.png
-55.6510444540777,-28.1724975867757,,,,,,,"-1","0","-1",,,126.000000000000000,GARRUCHOS,PROYECTADO,,-55.651044454077699,-28.172497586775702,no,"-28.17249758677566,-55.65104445407774",,,./2.png
-55.8989684801189,-27.7445514058262,,,,,,,"-1","0","-1",,,127.000000000000000,SAN CARLOS,PROYECTADO,,-55.898968480118903,-27.744551405826201,no,"-27.744551405826194,-55.89896848011893",,,./2.png
-57.8567196772544,-30.4184408679589,,,,,,,"-1","0","-1",,,128.000000000000000,JUAN PUJOL,PROYECTADO,,-57.856719677254397,-30.418440867958900,no,"-30.4184408679589,-57.856719677254425",,,./2.png
-57.966090063011,-30.6207867276551,,,,,,,"-1","0","-1",,,129.000000000000000,MOCORETÁ,PROYECTADO,,-57.966090063011002,-30.620786727655101,no,"-30.620786727655133,-57.966090063010974",,,./2.png
-58.4866959381579,-28.5248498452062,,,,,,,"-1","0","-1",,,130.000000000000000,CNIA. PANDO,PROYECTADO,,-58.486695938157901,-28.524849845206202,no,"-28.524849845206198,-58.48669593815789",,,./2.png
-58.6069110967526,-29.3388181814084,,,,,,,"-1","0","-1",,,131.000000000000000,PERUGORRIA,PROYECTADO,,-58.606911096752597,-29.338818181408399,,"-29.338818181408357,-58.606911096752576",,,./2.png
-59.3164097773322,-29.4979801272736,,,,,,,"-1","0","-1",,,132.000000000000000,SAN ISIDRO,PROYECTADO,,-59.316409777332197,-29.497980127273600,,"-29.49798012727359,-59.316409777332204",,,./2.png
-58.4533063872304,-28.2048545241541,,,,,,,"-1","0","-1",,,133.000000000000000,PAGO DE LOS DESEOS,PROYECTADO,,-58.453306387230398,-28.204854524154101,no,"-28.204854524154076,-58.45330638723045",,,./2.png
-58.6550986525016,-27.4560541880827,,,,,,,"-1","0","-1",,,134.000000000000000,SANTA ANA,PROYECTADO,,-58.655098652501600,-27.456054188082700,no,"-27.456054188082657,-58.65509865250164",,,./2.png
-57.9026644658458,-27.9392427579922,,,,,,,"-1","0","-1",,,135.000000000000000,PALMAR GRANDE,PROYECTADO,,-57.902664465845803,-27.939242757992201,,"-27.93924275799218,-57.90266446584581",,,./2.png
-55.785321149556,-28.2280967701733,,,,,,,"-1","0","-1",,,136.000000000000000,GARAVÍ,PROYECTADO,,-55.785321149555998,-28.228096770173298,no,"-28.228096770173305,-55.78532114955602",,,./2.png
